family,title,slug,extractionMode,registryStatus,statusBadge,href,ctaLabel,httpStatus,finalUrl,h1,canonical,robots,schemaTypes,classification,followOnLinkFailures,screenshot
"","CB Radio Channel Guide","cb-radio-channel-guide","legacy-link","","Available — 120 Countries","/tools/cb-radio-channel-guide","Open Tool →","404","https://www.haulcommand.com/tools/cb-radio-channel-guide","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Availability Estimator","escort-avail-est","legacy-link","","Available — 120 Countries","/tools/escort-avail-est","Open Tool →","404","https://www.haulcommand.com/tools/escort-avail-est","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Availability Estimator","escort-availability-estimator","legacy-link","","Available — 120 Countries","/tools/escort-availability-estimator","Open Tool →","404","https://www.haulcommand.com/tools/escort-availability-estimator","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Badge/Permit Requirement Checker","escort-badge-permit-requirement-checker","legacy-link","","Available — 120 Countries","/tools/escort-badge-permit-requirement-checker","Open Tool →","404","https://www.haulcommand.com/tools/escort-badge-permit-requirement-checker","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Certification Finder","escort-certification-finder","legacy-link","","Available — 120 Countries","/tools/escort-certification-finder","Open Tool →","404","https://www.haulcommand.com/tools/escort-certification-finder","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Count Calculator","escort-count-calculator","legacy-link","","Available — 120 Countries","/tools/escort-count-calculator","Open Tool →","200","https://www.haulcommand.com/tools/escort-count-calculator","Escort Count Calculator Tool","https://www.haulcommand.com/tools/escort-count-calculator","","","FAIL_H1|FAIL_NO_SCHEMA","",""
"","Escort Dispatch Dashboard","escort-dispatch","legacy-link","","Available — 120 Countries","/tools/escort-dispatch","Open Tool →","404","https://www.haulcommand.com/tools/escort-dispatch","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Equipment Checklist","escort-equipment-checklist","legacy-link","","Available — 120 Countries","/tools/escort-equipment-checklist","Open Tool →","404","https://www.haulcommand.com/tools/escort-equipment-checklist","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Insurance Requirement Checker","escort-insurance-requirement-checker","legacy-link","","Available — 120 Countries","/tools/escort-insurance-requirement-checker","Open Tool →","404","https://www.haulcommand.com/tools/escort-insurance-requirement-checker","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
"","Escort Intelligence Suite","escort-intel-suite","legacy-link","","Available — 120 Countries","/tools/escort-intel-suite","Open Tool →","404","https://www.haulcommand.com/tools/escort-intel-suite","","https://www.haulcommand.com","noindex","","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL","",""
