slug,href,reason
"cb-radio-channel-guide","/tools/cb-radio-channel-guide","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-avail-est","/tools/escort-avail-est","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-availability-estimator","/tools/escort-availability-estimator","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-badge-permit-requirement-checker","/tools/escort-badge-permit-requirement-checker","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-certification-finder","/tools/escort-certification-finder","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-count-calculator","/tools/escort-count-calculator","FAIL_H1|FAIL_NO_SCHEMA"
"escort-dispatch","/tools/escort-dispatch","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-equipment-checklist","/tools/escort-equipment-checklist","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-insurance-requirement-checker","/tools/escort-insurance-requirement-checker","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-intel-suite","/tools/escort-intel-suite","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-suite","/tools/escort-suite","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-lighting-requirement-checker","/tools/escort-lighting-requirement-checker","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-reciprocity-checker","/tools/escort-reciprocity-checker","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-renewal-timeline-checker","/tools/escort-renewal-timeline-checker","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-calculator","/tools/escort-calculator","FAIL_WRONG_INTENT"
"escort-req-al-ol","/tools/escort-req-al-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-dz-ol","/tools/escort-req-dz-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-ao-ol","/tools/escort-req-ao-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-ar-ol","/tools/escort-req-ar-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-au-ol","/tools/escort-req-au-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-at-ol","/tools/escort-req-at-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-az-ol","/tools/escort-req-az-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-bh-ol","/tools/escort-req-bh-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-bd-ol","/tools/escort-req-bd-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
"escort-req-be-ol","/tools/escort-req-be-ol","FAIL_404|FAIL_H1|FAIL_NO_SCHEMA|FAIL_STATIC_NOT_TOOL"
