family,title,slug,registryStatus,statusBadge,href,ctaLabel,httpStatus,finalUrl,h1,canonical,robots,schemaTypes,classification,screenshot
"route","Bridge Weight Overlay","bridge-weight","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"route","Cross-Border Planner","cross-border","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"route","Frost Law Tracker","frost-law-tracker","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"route","Regulation Alerts","regulation-alerts","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"route","Route Complexity","route-complexity","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"route","Route IQ","route-iq","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"route","Route Survey","route-survey","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"rates","Corridor Pricing","corridor-pricing","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"rates","Cost Calculator","cost-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"rates","Escort Cost Calculator","escort-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"rates","IFTA Calculator","ifta-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"rates","Rate Advisor","rate-advisor","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"rates","Rate Lookup","rate-lookup","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"rates","Total Trip Cost Calculator","total-trip-cost-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"load","Axle Weight Calculator","axle-weight-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"load","Load Analyzer","load-analyzer","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"load","Load Dimension Checker","load-dimension-checker","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"load","Load Types","load-types","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"load","Oversize Load Checker","oversize-load-checker","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"load","Superload Calculator","superload-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"compliance","Compliance Card","compliance-card","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"compliance","Compliance Copilot","compliance-copilot","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"compliance","Compliance Sentinel","compliance-sentinel","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"compliance","CRC Recorder","crc-recorder","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"compliance","DOT Lookup","dot-lookup","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"permit","Permit Calculator","permit-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"permit","Permit Complexity Checker","permit-checker","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"permit","Permit Cost Calculator","permit-cost-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"permit","Permit Filing","permit-filing","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"permit","Permit SLA Tracker","permit-sla-tracker","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"escort","CB Radio Channel Guide","cb-radio-channel-guide","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"escort","Escort Count Calculator","escort-count-calculator","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"escort","Escort Requirement Checker","escort-requirement-checker","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"escort","State Requirements","state-requirements","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"data","Discovery Map","discovery-map","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"data","Global Command Map","global-command-map","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"data","Heavy Haul Index","heavy-haul-index","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"certification","Certification Timeline","certification-timeline","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"broker","Instant Quote","instant-quote","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"infrastructure","Railroad Profiler","railroad-profiler","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
"localization","Terminology","terminology","coming_soon","Soon","","Soon","","","","","","","BLOCKED_NOT_OPEN",""
