name,city,region_code,country_code,phone,website,services,slug,claim_hash,claim_url,additional_cities,additional_regions
"C B Piloting Services, LLC","Springfield",AL,US,479-670-2176,,"height_pole;route_survey;multiple_cars;steering",c-b-piloting-services-llc,7ca04b49b7973d09,https://haulcommand.com/claim/invite/7ca04b49b7973d09,"","AK;AZ;AR;CA;CO;CT;DE;FL;GA;ID;IL;IN;IA;KS;KY;LA;ME;MD;MA;MI;MN;MS;MO;MT;NE;NV;NH;NJ;NM;NY;NC;ND;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VT;VA;WA;WV;WI;WY;AB;BC;NS;ON;QC;SK"
"Mobile, Al","",AL,US,251-957-2841,,"",mobile-al,e3e0768fed636feb,https://haulcommand.com/claim/invite/e3e0768fed636feb,"","FL;LA"
"Jacksonville/Green Cove Springs, Fl","",AL,US,904-607-3646,,"",jacksonvillegreen-cove-springs-fl,002493514b65eed8,https://haulcommand.com/claim/invite/002493514b65eed8,"Brunos Pilot Car Escort Svcs. LLC","FL;SC"
"Memphis, Tn","",AL,US,904-903-9300,,"",memphis-tn,5ce9e8b5fc3cda4f,https://haulcommand.com/claim/invite/5ce9e8b5fc3cda4f,"","AR;FL;IL;KY;VA"
"Gonzales /Baton Rouge, La","",AL,US,504-610-4162,,"",gonzales-baton-rouge-la,ca5a1e696c2a57c0,https://haulcommand.com/claim/invite/ca5a1e696c2a57c0,"","LA;TX"
"Jackson, Ms","",AL,US,601-612-0106,,"",jackson-ms,d87bdb6a5c606184,https://haulcommand.com/claim/invite/d87bdb6a5c606184,"","AR;FL;LA;PA;TX"
"Chattanooga, Tn","",AL,US,423-355-0213,,"",chattanooga-tn,1ced8ce0bfd3cf48,https://haulcommand.com/claim/invite/1ced8ce0bfd3cf48,"","KY"
"Birmingham, Al","",AL,US,205-902-1738,,"",birmingham-al,d41f11fcdba552ae,https://haulcommand.com/claim/invite/d41f11fcdba552ae,"","FL"
"Decatur/Huntsville/Birmingham, Al","",AL,US,256-466-5265,,"",decaturhuntsvillebirmingham-al,ca68914df782f1ad,https://haulcommand.com/claim/invite/ca68914df782f1ad,"",""
"Birmingham, Al","",AL,US,205-299-0326,,"",birmingham-al,2b4e986817355c75,https://haulcommand.com/claim/invite/2b4e986817355c75,"",""
"Graham’S Pilot Car","Mobile",AL,US,251-957-2841,,"height_pole;route_survey;multiple_cars",grahams-pilot-car,e586615b241401ac,https://haulcommand.com/claim/invite/e586615b241401ac,"",""
"Yuma, Az","Cwt",AZ,US,928-920-7350,,"",yuma-az,aab6e1b630612179,https://haulcommand.com/claim/invite/aab6e1b630612179,"",""
"Yuma, Az","",AZ,US,928-210-3435,,"",yuma-az,e47903dabd5148a8,https://haulcommand.com/claim/invite/e47903dabd5148a8,"","CA;NV;NM"
"Tucson, Az","Anstorm Sabre PCS, LLC",AZ,US,402-270-2125,,"",tucson-az,e91b00cd98deedc7,https://haulcommand.com/claim/invite/e91b00cd98deedc7,"",""
"Phoenix, Az","",AZ,US,602-699-5755,,"",phoenix-az,5c0a59973a2b135b,https://haulcommand.com/claim/invite/5c0a59973a2b135b,"",""
"Holbrook/Flagstaff/Payson, Az","S & G Transport LLC",AZ,US,928-651-2140,,"",holbrookflagstaffpayson-az,0e94dffeafba77fe,https://haulcommand.com/claim/invite/0e94dffeafba77fe,"","CO;NM;UT"
"Moorhead, Mn","",AZ,US,218-329-7606,,"",moorhead-mn,127775760c50fcbe,https://haulcommand.com/claim/invite/127775760c50fcbe,"","MN"
"Cortez, Co","",AZ,US,970-759-6678,,"",cortez-co,0e26a246294e36c2,https://haulcommand.com/claim/invite/0e26a246294e36c2,"","CO;NM;UT"
"Reno, Nv","",AZ,US,775-560-5896,,"",reno-nv,43bcebe5603c3646,https://haulcommand.com/claim/invite/43bcebe5603c3646,"Blacksheep Pilot Car / T.J.S","NV"
"Madera, Ca","",AZ,US,559-363-5656,,"",madera-ca,734174bdedc7b845,https://haulcommand.com/claim/invite/734174bdedc7b845,"","CA;NV;NM;UT"
"Sacramento, Ca","",AZ,US,916-856-4960,,"",sacramento-ca,ed30217534eb574c,https://haulcommand.com/claim/invite/ed30217534eb574c,"","CA;NV;OR;UT"
"& Pilot Car","",AZ,US,559-363-5656,,"",-pilot-car,571df8171df95679,https://haulcommand.com/claim/invite/571df8171df95679,"","CA;NV;NM;UT"
"Warsaw, Mo","",AR,US,660-281-6307,,"",warsaw-mo,5d8e10e830c30eff,https://haulcommand.com/claim/invite/5d8e10e830c30eff,"","IL;IN;IA;KS;MI;MN;NE;OH;OK"
"Texarkana, Ar","",AR,US,903-744-3166,,"",texarkana-ar,01178161e150a77e,https://haulcommand.com/claim/invite/01178161e150a77e,"",""
"Houston, Tx","",AR,US,281-923-8136,,"",houston-tx,ac0a94cafafbb760,https://haulcommand.com/claim/invite/ac0a94cafafbb760,"","LA;OK;TX"
"Norfolk, Ne","",AR,US,402-803-0644,,"",norfolk-ne,2c912290e7feed95,https://haulcommand.com/claim/invite/2c912290e7feed95,"","CO;IL;IA;KS;MN;NE;ND;OK;SD;TX;WI;WY"
"Texarkana, Ar","",AR,US,870-703-1576,,"",texarkana-ar,9f2a2a4b52354069,https://haulcommand.com/claim/invite/9f2a2a4b52354069,"","LA;OK;TX"
"Sallisaw, Ok","",AR,US,918-682-9636,,"",sallisaw-ok,96586a3e6360cff9,https://haulcommand.com/claim/invite/96586a3e6360cff9,"","OK;TX"
"Texarkana, Ar","",AR,US,318-469-3748,,"",texarkana-ar,3bc6c50383b6e9b0,https://haulcommand.com/claim/invite/3bc6c50383b6e9b0,"",""
"Northeast La","",AR,US,318-432-4270,,"",northeast-la,10b5ed044c64f486,https://haulcommand.com/claim/invite/10b5ed044c64f486,"","LA;TX"
"Long Beach, Ca","",CA,US,424-203-3227,,"",long-beach-ca,a837ae1b8927c4b5,https://haulcommand.com/claim/invite/a837ae1b8927c4b5,"",""
"Fairfield, Ca","",CA,US,707-592-4294,,"",fairfield-ca,24591c99162153c7,https://haulcommand.com/claim/invite/24591c99162153c7,"",""
"Ontario, Or","",CA,US,541-823-7039,,"",ontario-or,8219ac2eb8451f7d,https://haulcommand.com/claim/invite/8219ac2eb8451f7d,"",""
"Reno, Nv","",CA,US,775-745-5840,,"",reno-nv,f35165fa03354f08,https://haulcommand.com/claim/invite/f35165fa03354f08,"","UT"
"Long Beach, Ca","",CA,US,951-378-2992,,"",long-beach-ca,0fd8e6a5106594f2,https://haulcommand.com/claim/invite/0fd8e6a5106594f2,"",""
"Sacramento, Ca","Zephyr Pilot, LLC",CA,US,530-526-9765,,"",sacramento-ca,c9b9c9c15d0a8a25,https://haulcommand.com/claim/invite/c9b9c9c15d0a8a25,"",""
"Long Beach, Ca","",CA,US,951-442-4476,,"",long-beach-ca,436e8af5021f2343,https://haulcommand.com/claim/invite/436e8af5021f2343,"",""
"Bellingham, Wa","",CA,US,360-820-8388,,"",bellingham-wa,abd33f7ec117ba41,https://haulcommand.com/claim/invite/abd33f7ec117ba41,"","OR;WA"
"Sacramento, Ca/Reno, Nv","",CA,US,916-459-7079,,"",sacramento-careno-nv,167c0e4f6c636c82,https://haulcommand.com/claim/invite/167c0e4f6c636c82,"","NV"
"Bakersfield, Ca","",CA,US,760-223-2397,,"",bakersfield-ca,fe4a972127d3ea7e,https://haulcommand.com/claim/invite/fe4a972127d3ea7e,"",""
