name,city,region_code,country_code,phone,website,services,slug,claim_hash,claim_url,additional_cities,additional_regions
"C B Piloting Services, LLC","",AL,US,479-670-2176,,"",c-b-piloting-services-llc,7ca04b49b7973d09,https://haulcommand.com/claim/invite/7ca04b49b7973d09,"","AK;AZ;AR;CA;CO;CT;DE;FL;GA;ID;IL;IN;IA;KS;KY;LA;ME;MD;MA;MI;MN;MS;MO;MT;NE;NV;NH;NJ;NM;NY;NC;ND;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VT;VA;WA;WV;WI;WY;AB;BC;NS;ON;QC;SK"
"Permits & Dispatching For The Entire United States","",AL,US,631-669-3742,,"",permits-dispatching-for-the-entire-united-states,ee04dad991bc6722,https://haulcommand.com/claim/invite/ee04dad991bc6722,"","AK;AZ;AR;CA;CO;CT;DE;FL;GA;ID;IL;IN;IA;KS;KY;LA;ME;MD;MA;MI;MN;MS;MO;MT;NE;NV;NH;NJ;NM;NY;NC;ND;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VT;VA;WA;WV;WI;WY;AB;BC;NS;ON;QC;SK"
"Mobile, Al","",AL,US,251-957-2841,,"",mobile-al,e3e0768fed636feb,https://haulcommand.com/claim/invite/e3e0768fed636feb,"","FL;LA"
"Jacksonville/Green Cove Springs, Fl","",AL,US,904-607-3646,,"",jacksonvillegreen-cove-springs-fl,002493514b65eed8,https://haulcommand.com/claim/invite/002493514b65eed8,"Brunos Pilot Car Escort Svcs. LLC","FL;SC"
"Memphis, Tn","",AL,US,904-903-9300,,"",memphis-tn,5ce9e8b5fc3cda4f,https://haulcommand.com/claim/invite/5ce9e8b5fc3cda4f,"","AR;FL;IL;KY;VA"
"Gonzales /Baton Rouge, La","Gator’S Highway Escort Svcs, LLC",AL,US,504-610-4162,,"",gonzales-baton-rouge-la,ca5a1e696c2a57c0,https://haulcommand.com/claim/invite/ca5a1e696c2a57c0,"","LA;TX"
"Jackson, Ms","",AL,US,601-612-0106,,"",jackson-ms,d87bdb6a5c606184,https://haulcommand.com/claim/invite/d87bdb6a5c606184,"","AR;FL;LA;PA;TX"
"Chattanooga, Tn","",AL,US,423-355-0213,,"",chattanooga-tn,1ced8ce0bfd3cf48,https://haulcommand.com/claim/invite/1ced8ce0bfd3cf48,"","KY"
"Birmingham, Al","",AL,US,205-902-1738,,"",birmingham-al,d41f11fcdba552ae,https://haulcommand.com/claim/invite/d41f11fcdba552ae,"","FL"
"Decatur/Huntsville/Birmingham, Al","",AL,US,256-466-5265,,"",decaturhuntsvillebirmingham-al,ca68914df782f1ad,https://haulcommand.com/claim/invite/ca68914df782f1ad,"",""
